,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
8284,8284,Petit Marin / Hyper centre,436119297,Ségolène,2021-12-15,"Lyon, France",,within an hour,0.98,f,,38.0,45.0,t,2e Arrondissement,45.7609142830299,4.83166688244563,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,83.0,1,365,1,2,365,365,1.1,365.0,17,41,54,231,39,39,6,2024-11-30,4.79,4.85,4.9,5.0,6938213736039,f,22,22,22,0,3.56
8286,8286,"Studio lumineux, rénové, Wifi",446809352,Laurence,2022-02-25,"Lyon, France",,within an hour,1.0,f,,4.0,6.0,t,8e Arrondissement,45.7343859361864,4.86561310808069,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,79.0,5,365,5,5,365,365,5.0,365.0,24,27,27,27,5,4,0,2024-11-01,4.2,4.4,4.6,4.4,6934142583366,f,3,3,3,0,0.4
8293,8293,Opéra Bel Canto - 1er arrondissement,337698666,Agence COCOONR / BOOK&PAY,2020-02-20,"Rennes, France","Spécialistes de la location de courts et moyen séjours, nous serons très heureux de vous accueillir dans votre futur cocon pour un séjour loisir, touristique ou professionnel. Avant, pendant et après votre séjour, nous sommes à votre disposition pour répondre à vos questions et vous assister. Votre contact local pourra vous donner des conseils sur les visites et les choses à faire dans la région. A bientôt !",,,f,Le Panier,3535.0,3568.0,t,1er Arrondissement,45.767904,4.8371096,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,101.0,1,365,30,30,365,365,30.0,365.0,11,18,48,323,2,2,0,2024-06-25,5.0,5.0,5.0,5.0,6938124366177,t,43,43,43,0,0.28
8294,8294,Saint-Paul - Overlooking Lyon,388152691,Victoria,2021-02-11,,,,,f,,5.0,5.0,t,5e Arrondissement,45.76364,4.82497,Entire rental unit,Entire home/apt,5,2.5,3.0,3.0,1550.0,1,365,1,1,365,365,1.0,365.0,29,59,89,269,0,0,0,,,,,,Exempt - hotel-type listing,f,3,3,3,0,
8295,8295,Hyper centre - Le Petit Pierre,436119297,Ségolène,2021-12-15,"Lyon, France",,within an hour,0.98,f,,38.0,45.0,t,2e Arrondissement,45.76283,4.83141,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,76.0,1,365,1,2,365,365,1.4,365.0,24,48,78,187,61,61,5,2024-12-01,4.66,4.75,4.87,4.93,6938213213922,f,22,22,22,0,5.87
8298,8298,Maryse Bastié,529433146,David,2023-08-02,"Lyon, France",,within an hour,1.0,f,,24.0,27.0,t,8e Arrondissement,45.73754,4.87541,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,40.0,30,1125,30,30,1125,1125,30.0,1125.0,5,7,35,307,5,5,1,2024-12-05,4.4,4.6,4.4,4.6,"Available with a mobility lease only (""bail mobilité"")",f,8,8,8,0,0.89
8299,8299,La traboule Leynaud - Studio Cosy,529433146,David,2023-08-02,"Lyon, France",,within an hour,1.0,f,,24.0,27.0,t,1er Arrondissement,45.7705839551043,4.83317845659579,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,50.0,30,365,30,30,365,365,30.0,365.0,0,12,32,177,0,0,0,,,,,,"Available with a mobility lease only (""bail mobilité"")",f,8,8,8,0,
8300,8300,Bel appartement à Croix-rousse,550853709,Clara,2023-12-13,,,within an hour,1.0,f,,1.0,1.0,t,4e Arrondissement,45.7769911,4.8229428,Entire rental unit,Entire home/apt,2,,1.0,,,4,40,3,4,1125,1125,4.0,1125.0,3,3,3,3,9,9,2,2024-11-29,5.0,4.89,5.0,4.89,6938413731134,t,1,1,1,0,0.78
8301,8301,Superbe canut à la Croix-Rousse,550892084,Jean,2023-12-13,,,,,f,,1.0,1.0,t,1er Arrondissement,45.7716706053008,4.82265026120931,Entire rental unit,Entire home/apt,2,,1.0,,,3,10,3,3,10,10,3.0,10.0,0,0,0,0,0,0,0,,,,,,6938113674304,f,1,1,1,0,
8302,8302,Quiet studio Center Lyon AIL,548821170,Gau Et Max,2023-11-30,"Lyon, France",,within an hour,1.0,f,,1.0,2.0,t,6e Arrondissement,45.7688658,4.8529541,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,67.0,1,1125,1,4,2,1125,2.0,648.7,21,48,78,167,17,17,3,2024-12-08,4.65,4.65,4.82,4.94,6938613635068,t,1,1,1,0,1.45
8303,8303,GuestReady - Superb Apt in the Heart of Lyon,514225535,Remi,2023-05-11,,"We are GuestReady, a professional property management company helping hosts deliver outstanding experiences to their guests worldwide. From cleaning and preparing homes to provide 24/7 support, we ensure a comfortable and seamless stay from start to finish. With years of hospitality experience, we're dedicated to delivering an exceptional experience. Let us help you find the perfect place for an unforgettable stay!",within an hour,1.0,f,,1.0,3.0,t,7e Arrondissement,45.75493,4.84184,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,89.0,1,1125,1,3,1,1125,1.0,169.9,25,45,75,349,23,23,2,2024-12-08,4.3,4.13,4.74,4.57,Exempt - hotel-type listing,t,1,1,1,0,1.95
