,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
569,569,le Camille avec Jardin et Garage à Jean-Macé,5117719,Cecile,2013-02-17,"Lyon, France","Bonjour, je m’appelle Cécile et suis une lyonnaise qui adore manger du saucisson, boire du bon vin et profiter de notre belle cité lumineuse toute l’année et pas seulement le 8 décembre._x000D_
Je tenais à vous dire qu'à Lyon, il n'y a pas que l'OL, les quenelles et Guignol, non d'un saucisson brioché qu'on adore._x000D_
J’adore voyager dans le monde entier et même si j’aime la campagne et la montagne, je suis une vraie fan du tourisme urbain. _x000D_
Reconnaissez –vous où a été prise la photo de mon profil. Si oui nous aimons des choses communes !_x000D_
Je reste à votre entière disposition  pour vous renseigner et vous permettre de trouver la meilleure solution d'hébergements sur Lyon._x000D_
Au plaisir de vous accueillir._x000D_
_x000D_
Alors j’aime ma ville et j’ai grand plaisir à la faire découvrir, vous parler de lieux chaleureux, de spectacles ou café théâtre de qualité._x000D_
_x000D_
J’ai décoré et équipé l’appartement avec soin et cette belle et grande envie, que vous vous sentiez « comme chez vous » You Will Feel At Home ! le temps d’un beau voyage seul ou à deux. Soyons fous, c'est comme à la maison, en mieux !_x000D_
_x000D_
Si vous aimez comme moi courir, je vous conseille les berges du Rhône, à la fois urbaine et nature, vous allez adorer ! Vous pourrez vous promener en vélo’v ou tout simplement en flânant en marchant ...",within an hour,1.0,f,8th Arrondissement,19.0,41.0,t,7e Arrondissement,45.74451,4.83302,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,74.0,7,1125,4,7,1125,1125,7.0,1125.0,30,60,90,365,24,2,0,2024-09-18,4.75,4.75,4.83,4.79,6938712434914,f,14,14,14,0,0.23
572,572,Appartement au calme à Lyon,27408087,Michel,2015-02-08,"Lyon, France","J'aime beaucoup les voyages, la randonnée, le sport, et la gastronomie. A lyon, qui est la capitale de la gastronomie, nous sommes gâtés._x000D_
Je n'aime pas les gens tristes qui ne savent pas profiter de la vie.",within an hour,1.0,f,9th Arrondissement,1.0,1.0,t,9e Arrondissement,45.80162,4.82619,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,85.0,1,1125,1,1,1125,1125,1.0,1125.0,8,8,8,264,38,3,1,2024-12-09,4.87,4.68,4.92,4.61,6938912880167,f,1,1,1,0,0.36
573,573,Appartement climatisé dernier étage centre Lyon,5825312,Mb,2013-04-08,"Lyon, France","Nous avons découvert Airbnb en tant que voyageurs , nous avons rencontrés des hôtes fort sympathiques, nous avons eu envie de nous lancer dans l'aventure._x000D_
_x000D_
Nous habitons dans le quartier Cordeliers dans un bel immeuble Haussmannien  qui jouit d'une situation fabuleuse en plein centre de Lyon, à proximité du Vieux Lyon, des musées, de l'Opéra, des Théâtres, des restaurants commerces et à deux pas des transports en commun._x000D_
_x000D_
Au plaisir de vous rencontrer_x000D_
_x000D_
",within an hour,1.0,t,2nd Arrondissement,1.0,1.0,t,2e Arrondissement,45.76098,4.83727,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,350.0,2,725,2,2,725,725,2.0,725.0,15,37,64,274,174,26,1,2024-12-09,4.97,4.98,4.98,4.99,6938212594013,t,1,1,1,0,1.49
575,575,BELLE CHAMBRE AU COEUR DE LYON,27627552,Henri Et Anne,2015-02-12,"Lyon, France","Ma femme et moi, tous deux retraités, habitons un appartement ancien et confortable, en face de la gare de Perrache à Lyon. Notre ville natale où il fait bon vivre. Nous aimons la famille et notamment nos 11 petits enfants, les voyages, la culture, la musique classique, l'opéra. Ainsi que la montagne, le ski, l'alpinisme, car Lyon n'est pas loin des Alpes, où nous avons un chalet à Serre Chevalier. Et nous avons vécu 15 ans en Afrique tropicale.",within a few hours,0.86,t,2nd Arrondissement,1.0,1.0,t,2e Arrondissement,45.75224,4.82735,Private room in rental unit,Private room,2,1.0,1.0,1.0,65.0,2,7,2,2,7,7,2.0,7.0,7,37,50,318,70,6,3,2024-12-08,4.93,4.91,4.96,4.93,,f,1,0,0,0,0.59
577,577,Superbe loft au cœur des Brotteaux by camalan !,14803034,Alain,2014-04-27,"Lyon, France","Partant régulièrement à la découverte de nouveaux horizons, je me propose de vous accueillir dans les meilleures conditions vous permettant ainsi de profiter de Lyon.",within a few hours,1.0,t,6th Arrondissement,3.0,5.0,t,6e Arrondissement,45.76797,4.85998,Private room in rental unit,Private room,4,1.0,1.0,1.0,238.0,1,1125,1,1,1125,1125,1.0,1125.0,11,41,71,345,30,2,0,2024-02-23,4.97,4.93,5.0,4.93,,f,3,2,2,0,0.28
579,579,AU COEUR DE LYON,22836973,Chantal,2014-10-22,"Lyon, France",Je suis lyonnaise d'origine et je partage mon temps entre Lyon et la provence Je suis contente de vous faire profiter de ce lieu agréable pour visiter Lyon et découvrir ses bonnes adresses gastronomiques .,within a day,0.75,f,1st Arrondissement,1.0,2.0,t,5e Arrondissement,45.76785,4.82631,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,60.0,5,1125,5,5,1125,1125,5.0,1125.0,0,2,2,160,26,4,0,2024-08-11,4.77,4.5,4.92,4.85,6938112983525,f,1,1,1,0,0.25
580,580,Appartement en étage climatisé,28439302,Brice,2015-02-27,"Lyon, France",,within an hour,1.0,f,5th Arrondissement,3.0,4.0,t,5e Arrondissement,45.75503,4.7898,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,83.0,1,1125,1,1,365,365,1.0,365.0,24,50,80,338,85,4,0,2024-07-18,4.32,4.34,4.59,4.32,Exempt - hotel-type listing,t,3,3,3,0,0.74
581,581,100m2 heart of LYON / Free private parking,28611069,Laurence&Jeanguy,2015-03-02,"Lyon, France","Nous partageons notre temps entre Lyon et ANNECY._x000D_
Notre appartement lyonnais étant  souvent inoccupé, nous avons décidé de franchir le pas, en le proposant sur Airbnb. Du coup, nous sommes à la fois hotes, et voyageurs sur ce site.....plutōt agreable de communiquer avec des personnes qui ont choisi ""notre appart"" et envie que le séjour chez nous soit comme nous on les aime ailleurs.....",within an hour,1.0,t,1st Arrondissement,1.0,1.0,t,1er Arrondissement,45.7693634033203,4.83361291885376,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,205.0,2,1125,2,5,1125,1125,2.1,1125.0,13,32,62,333,147,12,1,2024-12-02,4.85,4.88,4.96,4.92,6938112943834,f,1,1,1,0,1.34
584,584,Chambre à louer à Vaise,28679175,Sébastien,2015-03-03,"Lyon, France","Enchantés, nous sommes Sébastien et Aurélie :)
Nous louons sur Airbnb notre 2nde chambre et notre studio depuis 9 ans. 
Notre seul objectif est de faire passer à nos voyageurs le meilleur séjour possible.
Nous avons décidé de nous lancer dans la conciergerie immobilière afin de proposer ce service aux propriétaires loueurs sur Airbnb (Conciergerie Rêve Bleu).
Au plaisir de vous accueillir / rencontrer.
Aurélie et Sébastien",within an hour,1.0,,9th Arrondissement,10.0,11.0,t,9e Arrondissement,45.78275,4.80742,Private room in condo,Private room,2,1.0,1.0,1.0,40.0,2,1125,2,2,1125,1125,2.0,1125.0,3,9,22,179,170,12,0,2024-11-08,4.89,4.97,4.98,4.92,,f,6,5,5,0,1.44
585,585,Appartement 38 m2 Place Brotteaux Vue magnifique,15986333,Marlène,2014-05-26,"Lyon, France",,within a few hours,0.8,f,6th Arrondissement,2.0,3.0,t,6e Arrondissement,45.76723,4.85686,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,69.0,30,300,30,30,300,300,30.0,300.0,3,33,63,338,19,0,0,2023-05-01,4.74,4.84,4.84,4.95,"Available with a mobility lease only (""bail mobilité"")",f,2,2,2,0,0.16
