,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
7131,7131,Appart croix rousse avec extérieur,11991814,Camille,2014-02-06,"Lyon, France",Voyageuse à travers le monde !!,,,f,,1.0,1.0,t,4e Arrondissement,45.7776576,4.830223,Entire rental unit,Entire home/apt,5,2.0,1.0,2.0,400.0,7,1125,7,7,1125,1125,7.0,1125.0,27,57,87,177,0,0,0,,,,,,6938413549804,f,1,1,1,0,
7134,7134,"2 Chambres, résidence sécurisée, 5 mn du centre !",451047676,Aline,2022-03-24,"Lyon, France",je suis une gérante d'une conciergerie sur Lyon je voyage avec ma famille et je prend souvent des airbnb,within an hour,1.0,f,,62.0,63.0,t,7e Arrondissement,45.753156567502,4.84308131108078,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,91.0,1,365,1,2,365,365,1.0,365.0,30,60,77,77,25,12,4,2024-12-06,4.56,4.64,4.88,4.44,6938713531212,f,22,21,21,0,1.18
7138,7138,Charming centrally located apartment + parking,3294755,Ghufran,2012-08-17,"Lyon, France","Love travelling, exploring, meeting new people and sharing experiences!",within a few hours,1.0,t,,2.0,2.0,t,7e Arrondissement,45.74165407742,4.84777316093097,Entire rental unit,Entire home/apt,6,1.0,2.0,2.0,160.0,2,365,2,2,1125,1125,2.0,1125.0,9,29,34,34,8,5,0,2024-08-07,4.88,5.0,5.0,4.63,6938713547147,f,2,1,1,0,0.42
7143,7143,Beau Duplex avec jardin et vue,108336953,Gilles,2016-12-24,"Régnié-Durette, France",,within an hour,1.0,t,,8.0,8.0,t,5e Arrondissement,45.7583651251532,4.82386942952871,Entire rental unit,Entire home/apt,8,1.0,2.0,5.0,217.0,2,365,1,2,1125,1125,1.3,1125.0,14,39,65,307,42,19,1,2024-12-08,4.76,4.88,4.69,4.79,6938513549577,t,7,7,7,0,2.09
7144,7144,Coeur de Presqu’île Hotel Dieu,108336953,Gilles,2016-12-24,"Régnié-Durette, France",,within an hour,1.0,t,,8.0,8.0,t,2e Arrondissement,45.7582086733227,4.83352256782765,Entire condo,Entire home/apt,6,2.0,2.0,2.0,273.0,1,365,1,2,365,365,1.3,365.0,13,37,67,174,18,12,0,2024-07-30,4.83,5.0,4.83,4.89,6938313540527,f,7,7,7,0,0.87
7150,7150,Cosy appartement 3 chambres + parking privé,459699846,Sofian,2022-05-18,"Paris, France",,within an hour,1.0,t,,6.0,10.0,t,7e Arrondissement,45.7381329,4.8312504,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,213.0,1,365,1,1,1125,1125,1.0,1125.0,13,34,62,315,69,30,7,2024-11-29,4.8,4.7,4.88,4.71,6938724475186,t,5,1,1,0,3.24
7161,7161,Appartement à 10 min du centre,505231708,Anaëlle,2023-03-13,,,,,f,,1.0,1.0,f,9e Arrondissement,45.7741666186723,4.80317515767214,Entire rental unit,Entire home/apt,6,,2.0,,,2,10,2,2,10,10,2.0,10.0,0,0,0,0,4,0,0,2023-09-17,5.0,5.0,5.0,5.0,6938913542935,f,1,1,1,0,0.2
7162,7162,Appart Cosy au Cœur de Lyon !,32923960,Frédérique,2015-05-08,"Sérézin-du-Rhône, France","Bonjour, Je suis une Lyonnaise pure souche, mes parents, grands parents, c'est une ville que j'adore et que j'aimerai vous faire partager. 
J'adore le concept Air BNB donc c'est naturellement que je passe de locataire à hôte. 
Si vous avez besoin de quoi que ce soit, j'essayerai au mieux de répondre à vos attentes.
D'autre part, je suis très réceptive aux remarques constructives donc si vous voulez me faire un retour n'hésitez pas.  
A très vite!",within an hour,1.0,t,,1.0,2.0,t,3e Arrondissement,45.7548688,4.8491728,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,98.0,2,1125,2,2,1125,1125,2.0,1125.0,9,23,47,130,137,71,4,2024-11-29,4.93,4.98,4.96,4.61,6938313543594,f,1,1,1,0,6.53
7163,7163,"2 chambres & sdb privées, loft partagé, ROUGE&BLEU",8602648,Georges,2013-09-03,"Lyon, France","Georges, j'ai écrit un roman et travaille sur des animations qui en sont tirées. J'aime mon logement, ma ville, j'en connais l'histoire, j'aime me balader en vélo, danser, faire une pétanque avec mes hôtes. Politesse et respect sont importants pour moi. Je vous accueille chaleureusement et avec bonne humeur.",within an hour,1.0,f,,3.0,10.0,t,7e Arrondissement,45.75162,4.83863,Private room in rental unit,Private room,7,,2.0,,,1,365,1,1,365,365,1.0,365.0,0,0,0,0,22,10,0,2024-06-16,4.09,4.45,4.5,4.0,,t,3,0,0,0,1.08
7164,7164,Appartement Lyon,397512274,Christopher,2021-04-18,,Bonjour je suis Christopher et je serai ravi de vous accueillir dans mon logement !,a few days or more,0.0,f,,1.0,2.0,t,6e Arrondissement,45.77166,4.84717,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,140.0,31,365,31,31,365,365,31.0,365.0,29,59,89,364,0,0,0,,,,,,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,
