,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
7268,7268,Croix-Rousse au balcon : T3 atypique flambant neuf,8287498,Julie,2013-08-20,"Lyon, France","Née en Bourgogne, j’ai énormément bougé au quatre coins de la France. J’ai adoré rencontrer des gens et chercher les pépites des lieux où je vivais pour me ressourcer. J’ai commencé à voyager jeune et j’adore marcher. C'est ce qui m'a donné le goût du grand air, du voyage et de l'aventure.
À Lyon, j’ai posé mes valises et j’aurai donc à cœur de vous partager ce petit cocon et aussi les belles adresses pour rendre votre séjour extraordinaire.",,,t,,1.0,1.0,t,1er Arrondissement,45.77019278476,4.82752849090314,Entire rental unit,Entire home/apt,4,,2.0,,,3,10,3,3,1125,1125,3.0,1125.0,0,0,0,0,34,3,0,2024-05-20,5.0,4.94,5.0,4.79,6938113574532,t,1,1,1,0,1.8
7274,7274,Appartement récent proche gares et transports,354001320,Antoine,2020-07-06,"Lyon, France",,,,f,,2.0,2.0,t,8e Arrondissement,45.7397,4.85764,Entire rental unit,Entire home/apt,4,,1.0,,,3,10,3,3,10,10,3.0,10.0,0,0,0,0,7,3,0,2024-09-15,4.86,4.71,4.57,5.0,6938813563352,f,2,1,1,0,0.35
7275,7275,Beautiful 3BR Apt in Lyon Center,452650355,Antoine,2022-04-04,"Lyon, France",,,,t,,2.0,2.0,t,1er Arrondissement,45.7673707,4.83215423558199,Entire rental unit,Entire home/apt,5,2.0,3.0,3.0,276.0,2,365,2,2,365,365,2.0,365.0,5,5,5,5,26,15,1,2024-11-14,4.92,5.0,5.0,4.92,6938113563941,f,2,2,2,0,1.34
7276,7276,Appartement typique Croix Rousse,137940035,Bertrand,2017-07-01,"Lyon, France",,,,f,,1.0,1.0,t,1er Arrondissement,45.7718221167244,4.82705440055226,Entire rental unit,Entire home/apt,4,,1.0,,,6,30,6,6,30,30,6.0,30.0,0,0,0,0,2,0,0,2023-12-10,4.5,5.0,5.0,5.0,6938113614916,f,1,1,1,0,0.12
7278,7278,Appartement calme et lumineux de 65m2 Lyon-Centre,108980446,Cyril,2016-12-29,"Lyon, France",,,,f,,1.0,3.0,t,1er Arrondissement,45.7716022131598,4.83455501463222,Entire rental unit,Entire home/apt,7,,2.0,,,2,365,2,2,365,365,2.0,365.0,0,0,0,0,3,0,0,2023-10-07,5.0,4.67,5.0,4.67,6938113552162,f,1,1,1,0,0.16
7279,7279,En bus - 20 min Gares Perrache & Gorge de loup,22623350,Ingrid,2014-10-16,"Lyon, France","Nous vous accueillons dans notre appartement rénové à Lyon5 proche des gares de Perrache, Gorge de Loup et Vaise, du site historique du Vieux Lyon et de Bellecour. 
L’Immeuble, situé dans un grand parc avec un château privé, sera rénové dans 2 ans.",,,f,,1.0,4.0,t,5e Arrondissement,45.7573610325232,4.78788962011435,Private room in bed and breakfast,Private room,1,,,,,1,365,1,2,365,365,1.1,365.0,0,0,0,0,2,0,0,2023-10-06,5.0,5.0,5.0,5.0,,f,1,0,0,0,0.1
7280,7280,Splendide appartement de 32 m² à Lyon 3ème.,510452089,Mohammed,2023-04-17,,"Bonjour ! 

Je m’appelle Mohammed et suis un grand adepte de Airbnb ! Je serai heureux de vous recevoir dans mon logement. 
Vous vous y sentirez comme chez vous :) 
Pour rendre votre séjour encore plus agréable, j’ai confié la gestion de mon bien à une conciergerie Airbnb, qui s’occupe de tout ! 
C’est avec eux principalement que vous communiquerez, n’hésitez pas à les contacter, ils sont très réactifs !",,,f,,1.0,3.0,t,3e Arrondissement,45.748165,4.871498,Entire rental unit,Entire home/apt,2,,1.0,,,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,0,,,,,,6938313551415,f,1,1,1,0,
7281,7281,Chambre spacieuse,196432148,Pierre,2018-06-18,"Lyon, France",,within a day,1.0,f,,2.0,2.0,t,1er Arrondissement,45.7672182038343,4.83070888011504,Private room in rental unit,Private room,2,,,,,1,365,1,1,365,365,1.0,365.0,0,0,0,0,9,2,0,2024-10-17,4.89,4.56,4.67,4.89,,f,1,0,0,0,0.46
7283,7283,Magnifique vue sur Lyon centre,14261030,Alexandre,2014-04-14,"Lyon, France","J'aime les lointains voyages, les découvertes, la cuisine et surtout le cinéma.",within an hour,1.0,t,,1.0,1.0,t,7e Arrondissement,45.746692817563,4.83295639141188,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,140.0,1,1125,1,1,1125,1125,1.0,1125.0,5,20,36,110,71,41,2,2024-12-08,4.92,4.86,4.89,4.92,6938712998504,f,1,1,1,0,3.76
7286,7286,calme/commerces/transports,201276260,Xavier,2018-07-10,,,,,f,,1.0,1.0,t,3e Arrondissement,45.7517829,4.8642793,Entire rental unit,Entire home/apt,2,,1.0,,,2,1125,1,3,1125,1125,1.6,1125.0,0,0,0,0,3,0,0,2023-07-15,5.0,4.67,5.0,4.67,6938313566657,f,1,1,1,0,0.17
